<1,10,4,>	=	6
<1,10,5,>	=	6
<1,11,0,>	=	2
<1,11,1,>	=	2
<1,12,0,>	=	1
<1,13,0,>	=	8
<1,13,1,>	=	8
<1,13,2,>	=	8
<1,13,3,>	=	8
<1,13,4,>	=	8
<1,13,5,>	=	8
<1,13,6,>	=	8
<1,13,7,>	=	8
<1,14,0,>	=	2
<1,14,1,>	=	2
<1,15,0,>	=	5
<1,15,1,>	=	5
<1,15,2,>	=	5
<1,15,3,>	=	5
<1,15,4,>	=	5
<1,16,0,>	=	1
<1,17,0,>	=	9
<1,17,1,>	=	9
<1,17,2,>	=	9
<1,17,3,>	=	9
<1,17,4,>	=	9
<1,17,5,>	=	9
<1,17,6,>	=	9
<1,17,7,>	=	9
<1,17,8,>	=	9
<1,18,0,>	=	7
<1,18,1,>	=	7
<1,18,2,>	=	7
<1,18,3,>	=	7
<1,18,4,>	=	7
<1,18,5,>	=	7
<1,18,6,>	=	7
<1,19,0,>	=	2
<1,19,1,>	=	2
<2,0,0,>	=	7
<2,0,1,>	=	7
<2,0,2,>	=	7
<2,0,3,>	=	7
<2,0,4,>	=	7
<2,0,5,>	=	7
<2,0,6,>	=	7
<2,1,0,>	=	8
<2,1,1,>	=	8
<2,1,2,>	=	8
<2,1,3,>	=	8
<2,1,4,>	=	8
<2,1,5,>	=	8
<2,1,6,>	=	8
<2,1,7,>	=	8
<2,2,0,>	=	8
<2,2,1,>	=	8
<2,2,2,>	=	8
<2,2,3,>	=	8
<2,2,4,>	=	8
<2,2,5,>	=	8
<2,2,6,>	=	8
<2,2,7,>	=	8
<2,3,0,>	=	5
<2,3,1,>	=	5
<2,3,2,>	=	5
<2,3,3,>	=	5
<2,3,4,>	=	5
<2,4,0,>	=	6
<2,4,1,>	=	6
<2,4,2,>	=	6
<2,4,3,>	=	6
<2,4,4,>	=	6
<2,4,5,>	=	6
<2,5,0,>	=	1
<2,6,0,>	=	8
<2,6,1,>	=	8
<2,6,2,>	=	8
<2,6,3,>	=	8
<2,6,4,>	=	8
<2,6,5,>	=	8
<2,6,6,>	=	8
<2,6,7,>	=	8
<2,7,0,>	=	3
<2,7,1,>	=	3
<2,7,2,>	=	3
<2,8,0,>	=	1
<2,9,0,>	=	9
<2,9,1,>	=	9
<2,9,2,>	=	9
<2,9,3,>	=	9
<2,9,4,>	=	9
<2,9,5,>	=	9
<2,9,6,>	=	9
<2,9,7,>	=	9
<2,9,8,>	=	9
<2,10,0,>	=	6
<2,10,1,>	=	6
<2,10,2,>	=	6
<2,10,3,>	=	6
<2,10,4,>	=	6
<2,10,5,>	=	6
<2,11,0,>	=	8
<2,11,1,>	=	8
<2,11,2,>	=	8
<2,11,3,>	=	8
<2,11,4,>	=	8
<2,11,5,>	=	8
<2,11,6,>	=	8
<2,11,7,>	=	8
<2,12,0,>	=	8
<2,12,1,>	=	8
<2,12,2,>	=	8
<2,12,3,>	=	8
<2,12,4,>	=	8
<2,12,5,>	=	8
<2,12,6,>	=	8
<2,12,7,>	=	8
<2,13,0,>	=	9
<2,13,1,>	=	9
<2,13,2,>	=	9
<2,13,3,>	=	9
<2,13,4,>	=	9
<2,13,5,>	=	9
<2,13,6,>	=	9
<2,13,7,>	=	9
<2,13,8,>	=	9
<2,14,0,>	=	8
<2,14,1,>	=	8
<2,14,2,>	=	8
<2,14,3,>	=	8
<2,14,4,>	=	8
<2,14,5,>	=	8
<2,14,6,>	=	8
<2,14,7,>	=	8
<2,15,0,>	=	7
<2,15,1,>	=	7
<2,15,2,>	=	7
<2,15,3,>	=	7
<2,15,4,>	=	7
<2,15,5,>	=	7
<2,15,6,>	=	7
<2,16,0,>	=	6
<2,16,1,>	=	6
<2,16,2,>	=	6
<2,16,3,>	=	6
<2,16,4,>	=	6
<2,16,5,>	=	6
<2,17,0,>	=	7
<2,17,1,>	=	7
<2,17,2,>	=	7
<2,17,3,>	=	7
<2,17,4,>	=	7
<2,17,5,>	=	7
<2,17,6,>	=	7
<2,18,0,>	=	6
<2,18,1,>	=	6
<2,18,2,>	=	6
<2,18,3,>	=	6
<2,18,4,>	=	6
<2,18,5,>	=	6
<2,19,0,>	=	4
<2,19,1,>	=	4
<2,19,2,>	=	4
<2,19,3,>	=	4
<3,0,0,>	=	5
<3,0,1,>	=	5
<3,0,2,>	=	5
<3,0,3,>	=	5
<3,0,4,>	=	5
<3,1,0,>	=	1
<3,2,0,>	=	7
<3,2,1,>	=	7
<3,2,2,>	=	7
<3,2,3,>	=	7
<3,2,4,>	=	7
<3,2,5,>	=	7
<3,2,6,>	=	7
<3,3,0,>	=	5
<3,3,1,>	=	5
<3,3,2,>	=	5
<3,3,3,>	=	5
<3,3,4,>	=	5
<3,4,0,>	=	3
<3,4,1,>	=	3
<3,4,2,>	=	3
<3,5,0,>	=	7
<3,5,1,>	=	7
<3,5,2,>	=	7
<3,5,3,>	=	7
<3,5,4,>	=	7
<3,5,5,>	=	7
<3,5,6,>	=	7
<3,6,0,>	=	7
<3,6,1,>	=	7
<3,6,2,>	=	7
<3,6,3,>	=	7
<3,6,4,>	=	7
<3,6,5,>	=	7
<3,6,6,>	=	7
<3,7,0,>	=	5
<3,7,1,>	=	5
<3,7,2,>	=	5
<3,7,3,>	=	5
<3,7,4,>	=	5
<3,8,0,>	=	4
<3,8,1,>	=	4
<3,8,2,>	=	4
<3,8,3,>	=	4
<3,9,0,>	=	5
<3,9,1,>	=	5
<3,9,2,>	=	5
<3,9,3,>	=	5
<3,9,4,>	=	5
<3,10,0,>	=	7
<3,10,1,>	=	7
<3,10,2,>	=	7
<3,10,3,>	=	7
<3,10,4,>	=	7
<3,10,5,>	=	7
<3,10,6,>	=	7
<3,11,0,>	=	6
<3,11,1,>	=	6
<3,11,2,>	=	6
<3,11,3,>	=	6
<3,11,4,>	=	6
<3,11,5,>	=	6
<3,12,0,>	=	3
<3,12,1,>	=	3
<3,12,2,>	=	3
<3,13,0,>	=	1
<3,14,0,>	=	5
<3,14,1,>	=	5
<3,14,2,>	=	5
<3,14,3,>	=	5
<3,14,4,>	=	5
<3,15,0,>	=	3
<3,15,1,>	=	3
<3,15,2,>	=	3
<3,16,0,>	=	8
<3,16,1,>	=	8
<3,16,2,>	=	8
<3,16,3,>	=	8
<3,16,4,>	=	8
<3,16,5,>	=	8
<3,16,6,>	=	8
<3,16,7,>	=	8
<3,17,0,>	=	3
<3,17,1,>	=	3
<3,17,2,>	=	3
<3,18,0,>	=	8
<3,18,1,>	=	8
<3,18,2,>	=	8
<3,18,3,>	=	8
<3,18,4,>	=	8
<3,18,5,>	=	8
<3,18,6,>	=	8
<3,18,7,>	=	8
<3,19,0,>	=	2
<3,19,1,>	=	2
<4,0,0,>	=	7
<4,0,1,>	=	7
<4,0,2,>	=	7
<4,0,3,>	=	7
<4,0,4,>	=	7
<4,0,5,>	=	7
<4,0,6,>	=	7
<4,1,0,>	=	5
<4,1,1,>	=	5
<4,1,2,>	=	5
<4,1,3,>	=	5
<4,1,4,>	=	5
<4,2,0,>	=	9
<4,2,1,>	=	9
<4,2,2,>	=	9
<4,2,3,>	=	9
<4,2,4,>	=	9
<4,2,5,>	=	9
<4,2,6,>	=	9
<4,2,7,>	=	9
<4,2,8,>	=	9
<4,3,0,>	=	4
<4,3,1,>	=	4
<4,3,2,>	=	4
<4,3,3,>	=	4
<4,4,0,>	=	6
<4,4,1,>	=	6
<4,4,2,>	=	6
<4,4,3,>	=	6
<4,4,4,>	=	6
<4,4,5,>	=	6
<4,5,0,>	=	1
<4,6,0,>	=	3
<4,6,1,>	=	3
<4,6,2,>	=	3
<4,7,0,>	=	2
<4,7,1,>	=	2
<4,8,0,>	=	5
<4,8,1,>	=	5
<4,8,2,>	=	5
<4,8,3,>	=	5
<4,8,4,>	=	5
<4,9,0,>	=	2
<4,9,1,>	=	2
<4,10,0,>	=	7
<4,10,1,>	=	7
<4,10,2,>	=	7
<4,10,3,>	=	7
<4,10,4,>	=	7
<4,10,5,>	=	7
<4,10,6,>	=	7
<4,11,0,>	=	2
<4,11,1,>	=	2
<4,12,0,>	=	4
<4,12,1,>	=	4
<4,12,2,>	=	4
<4,12,3,>	=	4
<4,13,0,>	=	8
<4,13,1,>	=	8
<4,13,2,>	=	8
<4,13,3,>	=	8
<4,13,4,>	=	8
<4,13,5,>	=	8
<4,13,6,>	=	8
<4,13,7,>	=	8
<4,14,0,>	=	2
<4,14,1,>	=	2
<4,15,0,>	=	2
<4,15,1,>	=	2
<4,16,0,>	=	2
<4,16,1,>	=	2
<4,17,0,>	=	5
<4,17,1,>	=	5
<4,17,2,>	=	5
<4,17,3,>	=	5
<4,17,4,>	=	5
<4,18,0,>	=	1
<4,19,0,>	=	7
<4,19,1,>	=	7
<4,19,2,>	=	7
<4,19,3,>	=	7
<4,19,4,>	=	7
<4,19,5,>	=	7
<4,19,6,>	=	7
<5,0,0,>	=	3
<5,0,1,>	=	3
<5,0,2,>	=	3
<5,1,0,>	=	1
<5,2,0,>	=	2
<5,2,1,>	=	2
<5,3,0,>	=	5
<5,3,1,>	=	5
<5,3,2,>	=	5
<5,3,3,>	=	5
<5,3,4,>	=	5
<5,4,0,>	=	1
<5,5,0,>	=	1
<5,6,0,>	=	5
<5,6,1,>	=	5
<5,6,2,>	=	5
<5,6,3,>	=	5
<5,6,4,>	=	5
<5,7,0,>	=	1
<5,8,0,>	=	8
<5,8,1,>	=	8
<5,8,2,>	=	8
<5,8,3,>	=	8
<5,8,4,>	=	8
<5,8,5,>	=	8
<5,8,6,>	=	8
<5,8,7,>	=	8
<5,9,0,>	=	5
<5,9,1,>	=	5
<5,9,2,>	=	5
<5,9,3,>	=	5
<5,9,4,>	=	5
<5,10,0,>	=	9
<5,10,1,>	=	9
<5,10,2,>	=	9
<5,10,3,>	=	9
<5,10,4,>	=	9
<5,10,5,>	=	9
<5,10,6,>	=	9
<5,10,7,>	=	9
<5,10,8,>	=	9
<5,11,0,>	=	6
<5,11,1,>	=	6
<5,11,2,>	=	6
<5,11,3,>	=	6
<5,11,4,>	=	6
<5,11,5,>	=	6
<5,12,0,>	=	2
<5,12,1,>	=	2
<5,13,0,>	=	9
<5,13,1,>	=	9
<5,13,2,>	=	9
<5,13,3,>	=	9
<5,13,4,>	=	9
<5,13,5,>	=	9
<5,13,6,>	=	9
<5,13,7,>	=	9
<5,13,8,>	=	9
<5,14,0,>	=	5
<5,14,1,>	=	5
<5,14,2,>	=	5
<5,14,3,>	=	5
<5,14,4,>	=	5
<5,15,0,>	=	3
<5,15,1,>	=	3
<5,15,2,>	=	3
<5,16,0,>	=	8
<5,16,1,>	=	8
<5,16,2,>	=	8
<5,16,3,>	=	8
<5,16,4,>	=	8
<5,16,5,>	=	8
<5,16,6,>	=	8
<5,16,7,>	=	8
<5,17,0,>	=	7
<5,17,1,>	=	7
<5,17,2,>	=	7
<5,17,3,>	=	7
<5,17,4,>	=	7
<5,17,5,>	=	7
<5,17,6,>	=	7
<5,18,0,>	=	3
<5,18,1,>	=	3
<5,18,2,>	=	3
<5,19,0,>	=	3
<5,19,1,>	=	3
<5,19,2,>	=	3
<6,0,0,>	=	7
<6,0,1,>	=	7
<6,0,2,>	=	7
<6,0,3,>	=	7
<6,0,4,>	=	7
<6,0,5,>	=	7
<6,0,6,>	=	7
<6,1,0,>	=	3
<6,1,1,>	=	3
<6,1,2,>	=	3
<6,2,0,>	=	3
<6,2,1,>	=	3
<6,2,2,>	=	3
<6,3,0,>	=	9
<6,3,1,>	=	9
<6,3,2,>	=	9
<6,3,3,>	=	9
<6,3,4,>	=	9
<6,3,5,>	=	9
<6,3,6,>	=	9
<6,3,7,>	=	9
<6,3,8,>	=	9
<6,4,0,>	=	2
<6,4,1,>	=	2
<6,5,0,>	=	8
<6,5,1,>	=	8
<6,5,2,>	=	8
<6,5,3,>	=	8
<6,5,4,>	=	8
<6,5,5,>	=	8
<6,5,6,>	=	8
<6,5,7,>	=	8
<6,6,0,>	=	8
<6,6,1,>	=	8
<6,6,2,>	=	8
<6,6,3,>	=	8
<6,6,4,>	=	8
<6,6,5,>	=	8
<6,6,6,>	=	8
<6,6,7,>	=	8
<6,7,0,>	=	2
<6,7,1,>	=	2
<6,8,0,>	=	7
<6,8,1,>	=	7
<6,8,2,>	=	7
<6,8,3,>	=	7
<6,8,4,>	=	7
<6,8,5,>	=	7
<6,8,6,>	=	7
<6,9,0,>	=	4
<6,9,1,>	=	4
<6,9,2,>	=	4
<6,9,3,>	=	4
<6,10,0,>	=	1
<6,11,0,>	=	1
<6,12,0,>	=	3
<6,12,1,>	=	3
<6,12,2,>	=	3
<6,13,0,>	=	6
<6,13,1,>	=	6
<6,13,2,>	=	6
<6,13,3,>	=	6
<6,13,4,>	=	6
<6,13,5,>	=	6
<6,14,0,>	=	7
<6,14,1,>	=	7
<6,14,2,>	=	7
<6,14,3,>	=	7
<6,14,4,>	=	7
<6,14,5,>	=	7
<6,14,6,>	=	7
<6,15,0,>	=	5
<6,15,1,>	=	5
<6,15,2,>	=	5
<6,15,3,>	=	5
<6,15,4,>	=	5
<6,16,0,>	=	3
<6,16,1,>	=	3
<6,16,2,>	=	3
<6,17,0,>	=	3
<6,17,1,>	=	3
<6,17,2,>	=	3
<6,18,0,>	=	1
<6,19,0,>	=	3
<6,19,1,>	=	3
<6,19,2,>	=	3
<7,0,0,>	=	8
<7,0,1,>	=	8
<7,0,2,>	=	8
<7,0,3,>	=	8
<7,0,4,>	=	8
<7,0,5,>	=	8
<7,0,6,>	=	8
<7,0,7,>	=	8
<7,1,0,>	=	9
<7,1,1,>	=	9
<7,1,2,>	=	9
<7,1,3,>	=	9
<7,1,4,>	=	9
<7,1,5,>	=	9
<7,1,6,>	=	9
<7,1,7,>	=	9
<7,1,8,>	=	9
<7,2,0,>	=	1
<7,3,0,>	=	1
<7,4,0,>	=	2
<7,4,1,>	=	2
<7,5,0,>	=	8
<7,5,1,>	=	8
<7,5,2,>	=	8
<7,5,3,>	=	8
<7,5,4,>	=	8
<7,5,5,>	=	8
<7,5,6,>	=	8
<7,5,7,>	=	8
<7,6,0,>	=	2
<7,6,1,>	=	2
<7,7,0,>	=	2
<7,7,1,>	=	2
<7,8,0,>	=	5
<7,8,1,>	=	5
<7,8,2,>	=	5
<7,8,3,>	=	5
<7,8,4,>	=	5
<7,9,0,>	=	6
<7,9,1,>	=	6
<7,9,2,>	=	6
<7,9,3,>	=	6
<7,9,4,>	=	6
<7,9,5,>	=	6
<7,10,0,>	=	8
<7,10,1,>	=	8
<7,10,2,>	=	8
<7,10,3,>	=	8
<7,10,4,>	=	8
<7,10,5,>	=	8
<7,10,6,>	=	8
<7,10,7,>	=	8
<7,11,0,>	=	9
<7,11,1,>	=	9
<7,11,2,>	=	9
<7,11,3,>	=	9
<7,11,4,>	=	9
<7,11,5,>	=	9
<7,11,6,>	=	9
<7,11,7,>	=	9
<7,11,8,>	=	9
<7,12,0,>	=	9
<7,12,1,>	=	9
<7,12,2,>	=	9
<7,12,3,>	=	9
<7,12,4,>	=	9
<7,12,5,>	=	9
<7,12,6,>	=	9
<7,12,7,>	=	9
<7,12,8,>	=	9
<7,13,0,>	=	5
<7,13,1,>	=	5
<7,13,2,>	=	5
<7,13,3,>	=	5
<7,13,4,>	=	5
<7,14,0,>	=	1
<7,15,0,>	=	2
<7,15,1,>	=	2
<7,16,0,>	=	6
<7,16,1,>	=	6
<7,16,2,>	=	6
<7,16,3,>	=	6
<7,16,4,>	=	6
<7,16,5,>	=	6
<7,17,0,>	=	8
<7,17,1,>	=	8
<7,17,2,>	=	8
<7,17,3,>	=	8
<7,17,4,>	=	8
<7,17,5,>	=	8
<7,17,6,>	=	8
<7,17,7,>	=	8
<7,18,0,>	=	3
<7,18,1,>	=	3
<7,18,2,>	=	3
<7,19,0,>	=	4
<7,19,1,>	=	4
<7,19,2,>	=	4
<7,19,3,>	=	4
<8,0,0,>	=	8
<8,0,1,>	=	8
<8,0,2,>	=	8
<8,0,3,>	=	8
<8,0,4,>	=	8
<8,0,5,>	=	8
<8,0,6,>	=	8
<8,0,7,>	=	8
<8,1,0,>	=	4
<8,1,1,>	=	4
<8,1,2,>	=	4
<8,1,3,>	=	4
<8,2,0,>	=	4
<8,2,1,>	=	4
<8,2,2,>	=	4
<8,2,3,>	=	4
<8,3,0,>	=	3
<8,3,1,>	=	3
<8,3,2,>	=	3
<8,4,0,>	=	6
<8,4,1,>	=	6
<8,4,2,>	=	6
<8,4,3,>	=	6
<8,4,4,>	=	6
<8,4,5,>	=	6
<8,5,0,>	=	9
<8,5,1,>	=	9
<8,5,2,>	=	9
<8,5,3,>	=	9
<8,5,4,>	=	9
<8,5,5,>	=	9
<8,5,6,>	=	9
<8,5,7,>	=	9
<8,5,8,>	=	9
<8,6,0,>	=	5
<8,6,1,>	=	5
<8,6,2,>	=	5
<8,6,3,>	=	5
<8,6,4,>	=	5
<8,7,0,>	=	4
<8,7,1,>	=	4
<8,7,2,>	=	4
<8,7,3,>	=	4
<8,8,0,>	=	3
<8,8,1,>	=	3
<8,8,2,>	=	3
<8,9,0,>	=	4
<8,9,1,>	=	4
<8,9,2,>	=	4
<8,9,3,>	=	4
<8,10,0,>	=	3
<8,10,1,>	=	3
<8,10,2,>	=	3
<8,11,0,>	=	6
<8,11,1,>	=	6
<8,11,2,>	=	6
<8,11,3,>	=	6
<8,11,4,>	=	6
<8,11,5,>	=	6
<8,12,0,>	=	2
<8,12,1,>	=	2
<8,13,0,>	=	7
<8,13,1,>	=	7
<8,13,2,>	=	7
<8,13,3,>	=	7
<8,13,4,>	=	7
<8,13,5,>	=	7
<8,13,6,>	=	7
<8,14,0,>	=	1
<8,15,0,>	=	2
<8,15,1,>	=	2
<8,16,0,>	=	3
<8,16,1,>	=	3
<8,16,2,>	=	3
<8,17,0,>	=	2
<8,17,1,>	=	2
<8,18,0,>	=	9
<8,18,1,>	=	9
<8,18,2,>	=	9
<8,18,3,>	=	9
<8,18,4,>	=	9
<8,18,5,>	=	9
<8,18,6,>	=	9
<8,18,7,>	=	9
<8,18,8,>	=	9
<8,19,0,>	=	1
<9,0,0,>	=	5
<9,0,1,>	=	5
<9,0,2,>	=	5
<9,0,3,>	=	5
<9,0,4,>	=	5
<9,1,0,>	=	1
<9,2,0,>	=	1
<9,3,0,>	=	3
<9,3,1,>	=	3
<9,3,2,>	=	3
<9,4,0,>	=	1
<9,5,0,>	=	2
<9,5,1,>	=	2
<9,6,0,>	=	6
<9,6,1,>	=	6
<9,6,2,>	=	6
<9,6,3,>	=	6
<9,6,4,>	=	6
<9,6,5,>	=	6
<9,7,0,>	=	7
<9,7,1,>	=	7
<9,7,2,>	=	7
<9,7,3,>	=	7
<9,7,4,>	=	7
<9,7,5,>	=	7
<9,7,6,>	=	7
<9,8,0,>	=	9
<9,8,1,>	=	9
<9,8,2,>	=	9
<9,8,3,>	=	9
<9,8,4,>	=	9
<9,8,5,>	=	9
<9,8,6,>	=	9
<9,8,7,>	=	9
<9,8,8,>	=	9
<9,9,0,>	=	4
<9,9,1,>	=	4
<9,9,2,>	=	4
<9,9,3,>	=	4
<9,10,0,>	=	1
<9,11,0,>	=	4
<9,11,1,>	=	4
<9,11,2,>	=	4
<9,11,3,>	=	4
<9,12,0,>	=	1
<9,13,0,>	=	7
<9,13,1,>	=	7
<9,13,2,>	=	7
<9,13,3,>	=	7
<9,13,4,>	=	7
<9,13,5,>	=	7
<9,13,6,>	=	7
<9,14,0,>	=	1
<9,15,0,>	=	9
<9,15,1,>	=	9
<9,15,2,>	=	9
<9,15,3,>	=	9
<9,15,4,>	=	9
<9,15,5,>	=	9
<9,15,6,>	=	9
<9,15,7,>	=	9
<9,15,8,>	=	9
<9,16,0,>	=	5
<9,16,1,>	=	5
<9,16,2,>	=	5
<9,16,3,>	=	5
<9,16,4,>	=	5
<9,17,0,>	=	3
<9,17,1,>	=	3
<9,17,2,>	=	3
<9,18,0,>	=	1
<9,19,0,>	=	5
<9,19,1,>	=	5
<9,19,2,>	=	5
<9,19,3,>	=	5
<9,19,4,>	=	5
<10,0,0,>	=	6
<10,0,1,>	=	6
<10,0,2,>	=	6
<10,0,3,>	=	6
<10,0,4,>	=	6
<10,0,5,>	=	6
<10,1,0,>	=	1
<10,2,0,>	=	7
<10,2,1,>	=	7
<10,2,2,>	=	7
<10,2,3,>	=	7
<10,2,4,>	=	7
<10,2,5,>	=	7
<10,2,6,>	=	7
<10,3,0,>	=	6
<10,3,1,>	=	6
<10,3,2,>	=	6
<10,3,3,>	=	6
<10,3,4,>	=	6
<10,3,5,>	=	6
<10,4,0,>	=	8
<10,4,1,>	=	8
<10,4,2,>	=	8
<10,4,3,>	=	8
<10,4,4,>	=	8
<10,4,5,>	=	8
<10,4,6,>	=	8
<10,4,7,>	=	8
<10,5,0,>	=	3
<10,5,1,>	=	3
<10,5,2,>	=	3
<10,6,0,>	=	7
<10,6,1,>	=	7
<10,6,2,>	=	7
<10,6,3,>	=	7
<10,6,4,>	=	7
<10,6,5,>	=	7
<10,6,6,>	=	7
<10,7,0,>	=	4
<10,7,1,>	=	4
<10,7,2,>	=	4
<10,7,3,>	=	4
<10,8,0,>	=	2
<10,8,1,>	=	2
<10,9,0,>	=	7
<10,9,1,>	=	7
<10,9,2,>	=	7
<10,9,3,>	=	7
<10,9,4,>	=	7
<10,9,5,>	=	7
<10,9,6,>	=	7
<10,10,0,>	=	4
<10,10,1,>	=	4
<10,10,2,>	=	4
<10,10,3,>	=	4
<10,11,0,>	=	2
<10,11,1,>	=	2
<10,12,0,>	=	7
<10,12,1,>	=	7
<10,12,2,>	=	7
<10,12,3,>	=	7
<10,12,4,>	=	7
<10,12,5,>	=	7
<10,12,6,>	=	7
<10,13,0,>	=	1
<10,14,0,>	=	2
<10,14,1,>	=	2
<10,15,0,>	=	7
<10,15,1,>	=	7
<10,15,2,>	=	7
<10,15,3,>	=	7
<10,15,4,>	=	7
<10,15,5,>	=	7
<10,15,6,>	=	7
<10,16,0,>	=	9
<10,16,1,>	=	9
<10,16,2,>	=	9
<10,16,3,>	=	9
<10,16,4,>	=	9
<10,16,5,>	=	9
<10,16,6,>	=	9
<10,16,7,>	=	9
<10,16,8,>	=	9
<10,17,0,>	=	1
<10,18,0,>	=	8
<10,18,1,>	=	8
<10,18,2,>	=	8
<10,18,3,>	=	8
<10,18,4,>	=	8
<10,18,5,>	=	8
<10,18,6,>	=	8
<10,18,7,>	=	8
<10,19,0,>	=	6
<10,19,1,>	=	6
<10,19,2,>	=	6
<10,19,3,>	=	6
<10,19,4,>	=	6
<10,19,5,>	=	6
<11,0,0,>	=	4
<11,0,1,>	=	4
<11,0,2,>	=	4
<11,0,3,>	=	4
<11,1,0,>	=	6
<11,1,1,>	=	6
<11,1,2,>	=	6
<11,1,3,>	=	6
<11,1,4,>	=	6
<11,1,5,>	=	6
<11,2,0,>	=	9
<11,2,1,>	=	9
<11,2,2,>	=	9
<11,2,3,>	=	9
<11,2,4,>	=	9
<11,2,5,>	=	9
<11,2,6,>	=	9
<11,2,7,>	=	9
<11,2,8,>	=	9
<11,3,0,>	=	3
<11,3,1,>	=	3
<11,3,2,>	=	3
<11,4,0,>	=	9
<11,4,1,>	=	9
<11,4,2,>	=	9
<11,4,3,>	=	9
<11,4,4,>	=	9
<11,4,5,>	=	9
<11,4,6,>	=	9
<11,4,7,>	=	9
<11,4,8,>	=	9
<11,5,0,>	=	6
<11,5,1,>	=	6
<11,5,2,>	=	6
<11,5,3,>	=	6
<11,5,4,>	=	6
<11,5,5,>	=	6
<11,6,0,>	=	8
<11,6,1,>	=	8
<11,6,2,>	=	8
<11,6,3,>	=	8
<11,6,4,>	=	8
<11,6,5,>	=	8
<11,6,6,>	=	8
<11,6,7,>	=	8
<11,7,0,>	=	6
<11,7,1,>	=	6
<11,7,2,>	=	6
<11,7,3,>	=	6
<11,7,4,>	=	6
<11,7,5,>	=	6
<11,8,0,>	=	6
<11,8,1,>	=	6
<11,8,2,>	=	6
<11,8,3,>	=	6
<11,8,4,>	=	6
<11,8,5,>	=	6
<11,9,0,>	=	1
